basin_id,station_name,date,discharge_m3s,lat,lon
1362100,EL EKHSASE,2000-01-01,1164.51,29.7,31.28
1362100,EL EKHSASE,2000-02-01,969.16,29.7,31.28
1362100,EL EKHSASE,2000-03-01,883.52,29.7,31.28
1362100,EL EKHSASE,2000-04-01,879.52,29.7,31.28
1362100,EL EKHSASE,2000-05-01,824.26,29.7,31.28
1362100,EL EKHSASE,2000-06-01,1236.4,29.7,31.28
1362100,EL EKHSASE,2000-07-01,2365.31,29.7,31.28
1362100,EL EKHSASE,2000-08-01,2971.91,29.7,31.28
1362100,EL EKHSASE,2000-09-01,2560.1,29.7,31.28
1362100,EL EKHSASE,2000-10-01,2045.07,29.7,31.28
1362100,EL EKHSASE,2000-11-01,1482.91,29.7,31.28
1362100,EL EKHSASE,2000-12-01,1213.05,29.7,31.28
1362100,EL EKHSASE,2001-01-01,1135.97,29.7,31.28
1362100,EL EKHSASE,2001-02-01,825.85,29.7,31.28
1362100,EL EKHSASE,2001-03-01,720.47,29.7,31.28
1362100,EL EKHSASE,2001-04-01,744.99,29.7,31.28
1362100,EL EKHSASE,2001-05-01,768.08,29.7,31.28
1362100,EL EKHSASE,2001-06-01,1285.22,29.7,31.28
1362100,EL EKHSASE,2001-07-01,1937.71,29.7,31.28
1362100,EL EKHSASE,2001-08-01,2471.23,29.7,31.28
1362100,EL EKHSASE,2001-09-01,2957.03,29.7,31.28
1362100,EL EKHSASE,2001-10-01,1914.98,29.7,31.28
1362100,EL EKHSASE,2001-11-01,1540.58,29.7,31.28
1362100,EL EKHSASE,2001-12-01,1110.8,29.7,31.28
1362100,EL EKHSASE,2002-01-01,1060.51,29.7,31.28
1362100,EL EKHSASE,2002-02-01,978.81,29.7,31.28
1362100,EL EKHSASE,2002-03-01,755.03,29.7,31.28
1362100,EL EKHSASE,2002-04-01,799.49,29.7,31.28
1362100,EL EKHSASE,2002-05-01,791.64,29.7,31.28
1362100,EL EKHSASE,2002-06-01,1218.29,29.7,31.28
1362100,EL EKHSASE,2002-07-01,1978.92,29.7,31.28
1362100,EL EKHSASE,2002-08-01,3182.76,29.7,31.28
1362100,EL EKHSASE,2002-09-01,2630.56,29.7,31.28
1362100,EL EKHSASE,2002-10-01,1776.21,29.7,31.28
1362100,EL EKHSASE,2002-11-01,1624.92,29.7,31.28
1362100,EL EKHSASE,2002-12-01,1125.57,29.7,31.28
1362100,EL EKHSASE,2003-01-01,1121.63,29.7,31.28
1362100,EL EKHSASE,2003-02-01,813.97,29.7,31.28
1362100,EL EKHSASE,2003-03-01,739.48,29.7,31.28
1362100,EL EKHSASE,2003-04-01,784.4,29.7,31.28
1362100,EL EKHSASE,2003-05-01,876.28,29.7,31.28
1362100,EL EKHSASE,2003-06-01,1258.11,29.7,31.28
1362100,EL EKHSASE,2003-07-01,2049.36,29.7,31.28
1362100,EL EKHSASE,2003-08-01,2691.56,29.7,31.28
1362100,EL EKHSASE,2003-09-01,2310.19,29.7,31.28
1362100,EL EKHSASE,2003-10-01,1819.42,29.7,31.28
1362100,EL EKHSASE,2003-11-01,1461.0,29.7,31.28
1362100,EL EKHSASE,2003-12-01,1346.06,29.7,31.28
1362100,EL EKHSASE,2004-01-01,1127.77,29.7,31.28
1362100,EL EKHSASE,2004-02-01,824.94,29.7,31.28
1362100,EL EKHSASE,2004-03-01,844.54,29.7,31.28
1362100,EL EKHSASE,2004-04-01,744.65,29.7,31.28
1362100,EL EKHSASE,2004-05-01,778.62,29.7,31.28
1362100,EL EKHSASE,2004-06-01,1295.22,29.7,31.28
1362100,EL EKHSASE,2004-07-01,2227.74,29.7,31.28
1362100,EL EKHSASE,2004-08-01,2948.43,29.7,31.28
1362100,EL EKHSASE,2004-09-01,2431.79,29.7,31.28
1362100,EL EKHSASE,2004-10-01,1873.29,29.7,31.28
1362100,EL EKHSASE,2004-11-01,1549.2,29.7,31.28
1362100,EL EKHSASE,2004-12-01,1331.17,29.7,31.28
1362100,EL EKHSASE,2005-01-01,1050.14,29.7,31.28
1362100,EL EKHSASE,2005-02-01,941.31,29.7,31.28
1362100,EL EKHSASE,2005-03-01,746.51,29.7,31.28
1362100,EL EKHSASE,2005-04-01,691.25,29.7,31.28
1362100,EL EKHSASE,2005-05-01,872.24,29.7,31.28
1362100,EL EKHSASE,2005-06-01,1361.79,29.7,31.28
1362100,EL EKHSASE,2005-07-01,2035.7,29.7,31.28
1362100,EL EKHSASE,2005-08-01,2949.17,29.7,31.28
1362100,EL EKHSASE,2005-09-01,2668.53,29.7,31.28
1362100,EL EKHSASE,2005-10-01,1812.37,29.7,31.28
1362100,EL EKHSASE,2005-11-01,1544.91,29.7,31.28
1362100,EL EKHSASE,2005-12-01,1379.66,29.7,31.28
1362100,EL EKHSASE,2006-01-01,1083.29,29.7,31.28
1362100,EL EKHSASE,2006-02-01,1069.59,29.7,31.28
1362100,EL EKHSASE,2006-03-01,644.03,29.7,31.28
1362100,EL EKHSASE,2006-04-01,810.48,29.7,31.28
1362100,EL EKHSASE,2006-05-01,820.47,29.7,31.28
1362100,EL EKHSASE,2006-06-01,1192.96,29.7,31.28
1362100,EL EKHSASE,2006-07-01,2051.95,29.7,31.28
1362100,EL EKHSASE,2006-08-01,2284.14,29.7,31.28
1362100,EL EKHSASE,2006-09-01,2534.86,29.7,31.28
1362100,EL EKHSASE,2006-10-01,1955.52,29.7,31.28
1362100,EL EKHSASE,2006-11-01,1670.41,29.7,31.28
1362100,EL EKHSASE,2006-12-01,1171.53,29.7,31.28
1362100,EL EKHSASE,2007-01-01,1010.89,29.7,31.28
1362100,EL EKHSASE,2007-02-01,907.74,29.7,31.28
1362100,EL EKHSASE,2007-03-01,869.96,29.7,31.28
1362100,EL EKHSASE,2007-04-01,776.46,29.7,31.28
1362100,EL EKHSASE,2007-05-01,776.25,29.7,31.28
1362100,EL EKHSASE,2007-06-01,1265.83,29.7,31.28
1362100,EL EKHSASE,2007-07-01,2042.24,29.7,31.28
1362100,EL EKHSASE,2007-08-01,2911.38,29.7,31.28
1362100,EL EKHSASE,2007-09-01,2422.73,29.7,31.28
1362100,EL EKHSASE,2007-10-01,1841.82,29.7,31.28
1362100,EL EKHSASE,2007-11-01,1439.48,29.7,31.28
1362100,EL EKHSASE,2007-12-01,1073.54,29.7,31.28
1362100,EL EKHSASE,2008-01-01,1100.67,29.7,31.28
1362100,EL EKHSASE,2008-02-01,960.45,29.7,31.28
1362100,EL EKHSASE,2008-03-01,806.73,29.7,31.28
1362100,EL EKHSASE,2008-04-01,738.52,29.7,31.28
1362100,EL EKHSASE,2008-05-01,715.09,29.7,31.28
1362100,EL EKHSASE,2008-06-01,1168.89,29.7,31.28
1362100,EL EKHSASE,2008-07-01,1960.73,29.7,31.28
1362100,EL EKHSASE,2008-08-01,2515.48,29.7,31.28
1362100,EL EKHSASE,2008-09-01,2520.65,29.7,31.28
1362100,EL EKHSASE,2008-10-01,1942.42,29.7,31.28
1362100,EL EKHSASE,2008-11-01,1701.48,29.7,31.28
1362100,EL EKHSASE,2008-12-01,1226.49,29.7,31.28
1362100,EL EKHSASE,2009-01-01,1091.64,29.7,31.28
1362100,EL EKHSASE,2009-02-01,930.33,29.7,31.28
1362100,EL EKHSASE,2009-03-01,679.06,29.7,31.28
1362100,EL EKHSASE,2009-04-01,747.13,29.7,31.28
